"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1289","Тест на проверку возможности успешного создания заказа, ручка - /api/v1/orders","tests","Tue Jun 24 12:54:33 EDT 2025","passed","Tue Jun 24 12:54:34 EDT 2025","TestOrder","test_order","",""
"","660","Тест на проверку невозможности создания курьера без логина или пароля, ручка - /api/v1/courier","tests","Tue Jun 24 12:51:57 EDT 2025","passed","Tue Jun 24 12:51:58 EDT 2025","TestCourier","test_create_courier","",""
"","61730","Успешная авторизация курьера невозможна, если какого-то поля нет - логина или пароля, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:52:19 EDT 2025","failed","Tue Jun 24 12:53:21 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","650","Тест на проверку невозможности создания курьера без логина или пароля, ручка - /api/v1/courier","tests","Tue Jun 24 12:51:54 EDT 2025","passed","Tue Jun 24 12:51:55 EDT 2025","TestCourier","test_create_courier","",""
"","1348","Тест на проверку возможности успешного создания заказа, ручка - /api/v1/orders","tests","Tue Jun 24 12:54:30 EDT 2025","passed","Tue Jun 24 12:54:31 EDT 2025","TestOrder","test_order","",""
"","61315","Успешная авторизация курьера невозможна, если какого-то поля нет - логина или пароля, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:53:25 EDT 2025","failed","Tue Jun 24 12:54:26 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","891","Тест на проверку невозможности создания курьера без логина или пароля, ручка - /api/v1/courier","tests","Tue Jun 24 12:51:55 EDT 2025","passed","Tue Jun 24 12:51:56 EDT 2025","TestCourier","test_create_courier","",""
"","3256","Получение списка заказов, ручка - /api/v1/orders","tests","Tue Jun 24 12:54:34 EDT 2025","passed","Tue Jun 24 12:54:37 EDT 2025","TestOrderList","test_order_list","",""
"","1309","Успешная авторизация курьера невозможна, если какого-то поля нет - логина или пароля, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:53:22 EDT 2025","passed","Tue Jun 24 12:53:24 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","663","Тест на проверку невозможности создания курьера без логина или пароля, ручка - /api/v1/courier","tests","Tue Jun 24 12:51:56 EDT 2025","passed","Tue Jun 24 12:51:57 EDT 2025","TestCourier","test_create_courier","",""
"","1","Успешная авторизация курьера с заполнением всех обязательных полей, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:52:00 EDT 2025","passed","Tue Jun 24 12:52:00 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","1337","Успешная авторизация курьера невозможна при пустых обязательных полей - логин или пароль, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:52:17 EDT 2025","passed","Tue Jun 24 12:52:18 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","1630","Тест на проверку возможности успешного создания заказа, ручка - /api/v1/orders","tests","Tue Jun 24 12:54:28 EDT 2025","passed","Tue Jun 24 12:54:30 EDT 2025","TestOrder","test_order","",""
"","1559","Тест на проверку невозможности создания курьеров с одинаковым логином, ручка - /api/v1/courier","tests","Tue Jun 24 12:51:51 EDT 2025","passed","Tue Jun 24 12:51:53 EDT 2025","TestCourier","test_create_courier","",""
"","2808","Успешная авторизация курьера невозможна при пустых обязательных полей - логин или пароль, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:52:09 EDT 2025","passed","Tue Jun 24 12:52:12 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","1403","Тест на проверку возможности успешного создания курьера, ручка - /api/v1/courier","tests","Tue Jun 24 12:51:48 EDT 2025","passed","Tue Jun 24 12:51:50 EDT 2025","TestCourier","test_create_courier","",""
"","1355","Успешная авторизация курьера невозможна при вводе неверного логина или пароля, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:52:04 EDT 2025","passed","Tue Jun 24 12:52:05 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","653","Тест на проверку невозможности создания курьера без логина или пароля, ручка - /api/v1/courier","tests","Tue Jun 24 12:51:55 EDT 2025","passed","Tue Jun 24 12:51:55 EDT 2025","TestCourier","test_create_courier","",""
"","634","Тест на проверку невозможности создания курьера без логина или пароля, ручка - /api/v1/courier","tests","Tue Jun 24 12:51:58 EDT 2025","passed","Tue Jun 24 12:51:58 EDT 2025","TestCourier","test_create_courier","",""
"","1390","Успешная авторизация курьера невозможна при вводе неверного логина или пароля, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:52:01 EDT 2025","passed","Tue Jun 24 12:52:02 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","678","Успешная авторизация несуществующего курьера невозможна, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:54:28 EDT 2025","passed","Tue Jun 24 12:54:28 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","1346","Успешная авторизация курьера невозможна при вводе неверного логина или пароля, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:52:06 EDT 2025","passed","Tue Jun 24 12:52:08 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","2199","Успешная авторизация курьера невозможна при пустых обязательных полей - логин или пароль, ручка - /api/v1/courier/login","tests","Tue Jun 24 12:52:13 EDT 2025","passed","Tue Jun 24 12:52:15 EDT 2025","TestCouriersLogin","test_login_courier","",""
"","1314","Тест на проверку возможности успешного создания заказа, ручка - /api/v1/orders","tests","Tue Jun 24 12:54:31 EDT 2025","passed","Tue Jun 24 12:54:33 EDT 2025","TestOrder","test_order","",""
